Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
OFERTA	-10%	"Smart Tv Led 55"" Ultra Hd 4k Samsung Lh55beahvggxzd Crystal 3..."	Cód. 1567588967		R$ 3.588,00 cada	R$ 3.229,20cada	tv	R$ 3.588,00 em até 8x de R$ 448,50 s/juros	à vista no pix
		"TV LED 32"" HQ HQTV32 Resolução HD com Conversor Digital 2 HDM..."	Cód. 1568255407		R$ 769,00cada		tv	7x de R$ 109,86 s/juros	
		"Smart Tv Led 43"" Ultra Hd 4k Lg 43ur781c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492415		R$ 1.799,00cada		tv	8x de R$ 224,87 s/juros	
OFERTA	-6%	Smart Tv Led 32 Samsung Hd 2 Hdmi Usb Wifi Lh32betblggxzd	Cód. 1567047122		R$ 1.499,00 cada	R$ 1.399,00cada	tv	8x de R$ 174,87 s/juros	
OFERTA	-17%	"Smart Tv Led 55"" Ultra Hd 4k Lg 55uq801c0sb.bwz Thinq Ai 3 Hd..."	Cód. 1570476640		R$ 2.899,00 cada	R$ 2.379,00cada	tv	8x de R$ 297,37 s/juros	
		Smart Tv Led 50 4k Hq Conversor Digital Externo 3 Hdmi 2 Usb	Cód. 1570447947		R$ 1.899,00cada		tv	8x de R$ 237,37 s/juros	
		"Smart TV LED 32"" HD HQ Conversor Digital Integrado 3 HDMI 2 U..."	Cód. 1570443772		R$ 929,00cada		tv	8x de R$ 116,12 s/juros	
OFERTA	-20%	"Smart Tv 32"" Philco Led Ptv32g70rch Roku Tv Dolby Audio Bivolt"	Cód. 1568022589		R$ 1.124,00 cada	R$ 899,00cada	tv	8x de R$ 112,37 s/juros	
		"Smart Tv 50"" Lg 4k Uhd Thinq Ai Hdr Bluetooth Alexa Google As..."	Cód. 1571567710		R$ 2.384,20cada		tv	8x de R$ 298,02 s/juros	
		Smart Tv Led Pro 32'' Hd Lg 32lm621 3 Hdmi 2 Usb Wi-fi Conver...	Cód. 1566749793		Produto Indisponível		tv		
		Tv 14 Digital Portátil Led 12v Usb Onibus Carro Van Caminhao	Cód. 1570717601		R$ 899,99cada		tv	8x de R$ 112,50 s/juros	
OFERTA	-17%	Smart Tv 50” Philco 4k Ptv50n10n5e Led Dolby Audio Bivolt	Cód. 1567868041		R$ 3.999,90 cada	R$ 3.299,90cada	tv	8x de R$ 412,49 s/juros	
OFERTA	-10%	Smart Tv 65” Philco 4k Ptv65g10ag11sk Android Tv Led Bivolt	Cód. 1571182246		R$ 4.898,00 cada	R$ 4.408,20cada	tv	R$ 4.898,00 em até 8x de R$ 612,25 s/juros	à vista no pix
OFERTA	-10%	"Fast Smart Tv Philco 65"" Ptv65g70agcbl Android Tv 4k Bivolt"	Cód. 1568022590		R$ 5.561,27 cada	R$ 5.005,14cada	tv	R$ 5.561,27 em até 8x de R$ 695,16 s/juros	à vista no pix
OFERTA	-10%	Smart Tv Philco 32 Polegadas Hd Hdr Ptv32g70sbl	Cód. 1567091042		R$ 1.789,87 cada	R$ 1.610,88cada	tv	R$ 1.789,87 em até 8x de R$ 223,73 s/juros	à vista no pix
OFERTA	-24%	Smart Tv 50” Philco 4k Ptv50g10ag11sk Led Dolby Audio Bivolt	Cód. 1571069607		R$ 2.999,90 cada	R$ 2.259,90cada	tv	8x de R$ 282,49 s/juros	
OFERTA	-10%	"Smart Tv Philco 43"" Ptv43g50sn Led - Netflix Bivolt"	Cód. 1566832824		R$ 2.018,00 cada	R$ 1.816,20cada	tv	R$ 2.018,00 em até 8x de R$ 252,25 s/juros	à vista no pix
		"Smart Tv Qled 65"" Google Tv Ultra Hd 4k Tcl 65c845 Comando De..."	Cód. 1571540587		R$ 8.989,00cada		tv	8x de R$ 1.123,62 s/juros	
		"Smart Tv Led Lg 24"" Hd 24tl520s Wi-fi Integrado Usb Hdmi Webo..."	Cód. 1567102139		R$ 1.449,00cada		tv	8x de R$ 181,12 s/juros	
		Smart Tv 75 Philips 4k 75pug8808 Ambilight Android	Cód. 1571606180		R$ 8.998,99cada		tv	8x de R$ 1.124,87 s/juros	
OFERTA	-7%	Smart Tv Toshiba 43 Polegadas Fhd 43v35l	Cód. 1570961364		R$ 2.549,90 cada	R$ 2.349,90cada	tv	8x de R$ 293,74 s/juros	
OFERTA	-10%	"Smart Tv Android Led 43"" Full Hd Tcl 43s615 2 Hdmi 1 Usb Wi-f..."	Cód. 1568065821		R$ 2.248,00 cada	R$ 2.023,20cada	tv	R$ 2.248,00 em até 8x de R$ 281,00 s/juros	à vista no pix
OFERTA	-8%	"Smart Tv Led 75"" Tcl P735 4k Uhd Hdr Dolby Vision"	Cód. 1570765757		R$ 5.299,00 cada	R$ 4.875,08cada	tv	R$ 5.299,00 em até 8x de R$ 662,37 s/juros	à vista no pix
		"Smart Tv Led 65"" Ultra Hd 4k Lg 65uq801c0sb.bwz Thinq Ai 3 Hd..."	Cód. 1570476642		R$ 4.499,00cada		tv	8x de R$ 562,37 s/juros	
		"Smart Tv Android Qled 55"" Ultra Hd 4k Philco Ptv55m82agcibbl"	Cód. 1570679923		R$ 4.089,99cada		tv	8x de R$ 511,25 s/juros	
		"Smart Tv Lg 65"" 4k Oled Evo Com Inteligência Artificial Oled6..."	Cód. 1570765744		R$ 15.191,50cada		tv	8x de R$ 1.898,94 s/juros	
		Smart Tv Oled 4k Uhd 55 Polegadas Samsung 4 Hdmi 2 Usb 144hz	Cód. 1571483066		R$ 8.279,90cada		tv	8x de R$ 1.034,99 s/juros	
		Tv 43 Fhd Smart Android Tl046m Multilaser	Cód. 1571587757		R$ 1.999,00cada		tv	8x de R$ 249,87 s/juros	
		"Smart Tv Led 75"" Philips 75pml9507/78 4k Uhd Andr C/ Wi-fi, 3..."	Cód. 1571604530		R$ 13.999,00cada		tv	8x de R$ 1.749,87 s/juros	
OFERTA	-17%	Smart Tv 58” Philco 4k Ptv58g70rcbl Roku Tv Led Dolby Audio B...	Cód. 1567868037		R$ 3.299,90 cada	R$ 2.729,90cada	tv	8x de R$ 341,24 s/juros	
OFERTA	-26%	Smart Tv 55 4k Lg 120hz Freesync Thinq Ai Alexa Google Oled55...	Cód. 1571592315		R$ 9.620,00 cada	R$ 7.071,20cada	tv	8x de R$ 883,90 s/juros	
		"Tv Philco 32"" Ph32f33dg Led Bivolt"	Cód. 1566729703		R$ 1.562,32cada		tv	8x de R$ 195,29 s/juros	
		Tv 32” Philco Led Ptv32g50d Hd Receptor Digital Bivolt	Cód. 1566764596		R$ 1.579,90cada		tv	8x de R$ 197,49 s/juros	
		Tv Philips 75 Smart 4k Ambilight Android The One 75pug8807/78	Cód. 1571490011		R$ 8.829,90cada		tv	8x de R$ 1.103,74 s/juros	
OFERTA	-17%	"Smart Tv Britânia 42"" Btv42g70n5cf Full Hd Led - Netflix Bivo..."	Cód. 1567965855		R$ 2.299,90 cada	R$ 1.889,90cada	tv	8x de R$ 236,24 s/juros	
		"Smart Tv Led 32"" Hd Multilaser Tl020 Conversor Digital Extern..."	Cód. 1567187262		R$ 1.699,00cada		tv	8x de R$ 212,37 s/juros	
OFERTA	-21%	Smart Tv 32” Philco Led Ptv32d10n5skh Dolby Audio Bivolt	Cód. 1567588964		R$ 1.599,90 cada	R$ 1.259,90cada	tv	8x de R$ 157,49 s/juros	
OFERTA	-26%	Tv 32 Smart Hd Android Wifi Integrado Tl042m Multilaser	Cód. 1571587758		R$ 1.558,80 cada	R$ 1.138,80cada	tv	8x de R$ 142,35 s/juros	
OFERTA	-10%	"Tv 24"" Philco Led Ptv24n19d Hd Receptor Digital Bivolt"	Cód. 1567296780		R$ 972,12 cada	R$ 874,91cada	tv	R$ 972,12 em até 8x de R$ 121,51 s/juros	à vista no pix
OFERTA	-28%	"Samsung Smart Tv Qled 4k The Sero 2022 43"" Tela Matte Tv Ve..."	Cód. 1570438112		R$ 10.541,00 cada	R$ 7.499,00cada	tv	8x de R$ 937,37 s/juros	
OFERTA	-18%	Smart Tv Android D-led 4k 50 Pol 3 Hdmi 2 Usb Wi-fi Bl-02 Aiwa	Cód. 1571176427		R$ 2.926,40 cada	R$ 2.386,40cada	tv	8x de R$ 298,30 s/juros	
		"Tv Led 32"" Hd Lg 32lt330hbsb 2 Hdmi 1 Usb Pro"	Cód. 1567096906		R$ 1.199,00cada		tv	8x de R$ 149,87 s/juros	
