Situacao	Var_Desconto	Descricao	Codigo	Preco_Original	Preco_A_Vista	Preço_A_Credito	Parcela	Valor_Parcela	Produto	Desconsiderar	Desmembrar	Avaliacao
		"TV LED 32"" HQ HQTV32 Resolução HD com Conversor Digital 2 HDM..."	Cód. 1568255407	(1)			R$ 769,00cada	7x de R$ 109,86 s/juros	tv			
		"Smart Tv Led 55"" Ultra Hd 4k Samsung Lh55beahvggxzd Crystal 3..."	Cód. 1567588967	(1)			R$ 3.588,00cada	8x de R$ 448,50 s/juros	tv			
OFERTA	-20%	"Smart Tv 32"" Philco Led Ptv32g70rch Roku Tv Dolby Audio Bivolt"	Cód. 1568022589	(2)	R$ 1.388,00 cada		R$ 1.110,00cada		tv		8x de R$ 138,75 s/juros	
		"Tv Lg 43"" Led 4k Uhd Smart Pro 43uq751c0sf.bwz"	Cód. 1570668727	(0)			R$ 1.999,00cada	8x de R$ 249,87 s/juros	tv			
OFERTA	-12%	Smart Tv 50” Philco 4k Ptv50g70r2csgbl Led Dolby Audio Bivolt	Cód. 1571158002	(0)	R$ 2.399,90 cada		R$ 2.109,90cada		tv		8x de R$ 263,74 s/juros	
OFERTA	-53%	"Samsung Smart Tv 55"" Qled 4k 55q80b 2022 Modo Game Processa..."	Cód. 1569938129	(0)	R$ 7.799,00 cada		R$ 3.635,69cada		tv		8x de R$ 454,46 s/juros	
		Smart Tv Led 50 4k Hq Conversor Digital Externo 3 Hdmi 2 Usb	Cód. 1570447947	(2)			R$ 1.829,00cada	8x de R$ 228,62 s/juros	tv			
OFERTA	-6%	"Smart Tv Led 55"" Ultra Hd 4k Lg 55uq801c0sb.bwz Thinq Ai 3 Hd..."	Cód. 1570476640	R$ 2.599,00 cada	R$ 2.443,06cada		à vista no pix		tv		R$ 2.599,00 em até 8x de R$ 324,87 s/juros	(3)
		"Smart TV LED 32"" HD HQ Conversor Digital Integrado 3 HDMI 2 U..."	Cód. 1570443772	(3)			R$ 919,00cada	8x de R$ 114,87 s/juros	tv			
OFERTA	-9%	Smart Tv Led 32 Samsung Hd 2 Hdmi Usb Wifi Lh32betblggxzd	Cód. 1567047122	(1)	R$ 1.799,00 cada		R$ 1.629,00cada		tv		8x de R$ 203,62 s/juros	
		"Smart Tv Led 43"" Ultra Hd 4k Lg 43ur781c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492415	(1)			R$ 1.799,00cada	8x de R$ 224,87 s/juros	tv			
		TV LED 24 Polegadas AOC LE24M1475 HD 2 HDMI USB	Cód. 1566705306	(0)			R$ 999,00cada	8x de R$ 124,87 s/juros	tv			
		Smart TV LED 50 Polegadas AOC LE50U7970S HD 4K Wi-fi 4 HDMI U...	Cód. 1566705322	(0)			R$ 2.599,00cada	8x de R$ 324,87 s/juros	tv			
		"Smart Tv Britânia Led 32"" Netflix Bivolt"	Cód. 1566723036	(0)			R$ 1.899,00cada	8x de R$ 237,37 s/juros	tv			
		Smart Tv 43 Polegadas Led Aoc 43s5295/78g com Wifi 2 Usb 3 Hd...	Cód. 1566733674	(0)			R$ 2.199,00cada	8x de R$ 274,87 s/juros	tv			
		Smart Tv Led Pro 32'' Hd Lg 32lm621 3 Hdmi 2 Usb Wi-fi Conver...	Cód. 1566749793	(0)					tv		Produto Indisponível	
		"Smart Tv Samsung Un70tu7000gxzd Crystal Uhd 70"" 4k Preto"	Cód. 1567052112	(0)			R$ 6.199,00cada	8x de R$ 774,87 s/juros	tv			
		Smart TV LED 43 Polegadas AOC LE43S5970S Full HD Wi-Fi 2 USB	Cód. 1566705336	(0)			R$ 1.699,00cada	8x de R$ 212,37 s/juros	tv			
		Smart Tv Philco 49” Ph49f30dsgwa Led Bivolt	Cód. 1552076600	(0)			R$ 2.499,00cada	8x de R$ 312,37 s/juros	tv			
		"Smart Tv Philco 50"" Ptv50e60sn Netflix Bivolt"	Cód. 1552056608	(0)			R$ 2.499,00cada	8x de R$ 312,37 s/juros	tv			
		"Smart Tv Philco 43"" Ph43e30dsgw Led Bivolt"	Cód. 1552052744	(0)			R$ 2.899,00cada	8x de R$ 362,37 s/juros	tv			
		Smart Tv Led 4k Aoc 50u6295 50 Polegadas Uhd 4 Hdmi Usb Wi-fi...	Cód. 1566839883	(1)			R$ 4.699,00cada	8x de R$ 587,37 s/juros	tv			
		Tv 14 Digital Portátil Led 12v Usb Onibus Carro Van Caminhao	Cód. 1570717601	(0)			R$ 899,99cada	8x de R$ 112,50 s/juros	tv			
OFERTA	-17%	Smart Tv 50” Philco 4k Ptv50n10n5e Led Dolby Audio Bivolt	Cód. 1567868041	(0)	R$ 3.999,90 cada		R$ 3.299,90cada		tv		8x de R$ 412,49 s/juros	
		Smart Tv 65” Philco 4k Ptv65g10ag11sk Android Tv Led Bivolt	Cód. 1571182246	(0)			R$ 4.898,00cada	8x de R$ 612,25 s/juros	tv			
OFERTA	-32%	Smart Tv 43” Philco Led Ptv43e10n5sf Dolby Audio Bivolt	Cód. 1567378873	(0)	R$ 3.999,90 cada		R$ 2.699,90cada		tv		8x de R$ 337,49 s/juros	
		"Fast Smart Tv Philco 65"" Ptv65g70agcbl Android Tv 4k Bivolt"	Cód. 1568022590	(0)			R$ 5.561,27cada	8x de R$ 695,16 s/juros	tv			
		Smart Tv Philco 32 Polegadas Hd Hdr Ptv32g70sbl	Cód. 1567091042	(0)			R$ 1.789,87cada	8x de R$ 223,73 s/juros	tv			
		Smart Tv 58” Philco 4k Ptv58g70rcbl Roku Tv Led Dolby Audio B...	Cód. 1567868037	(0)			R$ 3.149,90cada	8x de R$ 393,74 s/juros	tv			
OFERTA	-6%	"Smart Tv Led 75"" Tcl P735 4k Uhd Hdr Dolby Vision"	Cód. 1570765757	R$ 5.299,00 cada	R$ 4.981,06cada		à vista no pix		tv		R$ 5.299,00 em até 8x de R$ 662,37 s/juros	(0)
OFERTA	-38%	"Smart Tv Samsung 85"" Crystal Uhd 4k 85cu8000 2023 Painel Dyna..."	Cód. 1571333653	(0)	R$ 15.999,00 cada		R$ 9.848,90cada		tv		8x de R$ 1.231,11 s/juros	
