Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
		TV LED 32 HQ HQTV32 Resolucao HD com Conversor Digital 2 HDM	1568255407	1	769.02		Televisao	2023-10-05
Oferta	10	Smart Tv Led 55 Ultra Hd 4k Samsung Lh55beahvggxzd Crystal 3	1567588967	1	3588.00	3229.20	Televisao	2023-10-05
		Tv Lg 43 Led 4k Uhd Smart Pro 43uq751c0sf.bwz	1570668727	0	2499.92		Televisao	2023-10-05
Oferta	6	Smart Tv Led 32 Samsung Hd 2 Hdmi Usb Wifi Lh32betblggxzd	1567047122	1	1398.96	1399.00	Televisao	2023-10-05
Oferta	12	Smart Tv 50 Philco 4k Ptv50g70r2csgbl Led Dolby Audio Bivolt	1571158002	0	2109.92	2109.90	Televisao	2023-10-05
		Smart Tv Led 43 Ultra Hd 4k Lg 43ur781c0sa Thinq Ai 3 Hdmi 2	1571492415	1	1798.96		Televisao	2023-10-05
		Smart Tv Led 55 Ultra Hd 4k Lg 55uq801c0sb.bwz Thinq Ai 3 Hd	1570476640	3	2598.96		Televisao	2023-10-05
		Smart Tv 50 Lg 4k Uhd Thinq Ai Hdr Bluetooth Alexa Google As	1571567710	0	2258.00		Televisao	2023-10-05
Oferta	20	Smart Tv 32 Philco Led Ptv32g70rch Roku Tv Dolby Audio Bivolt	1568022589	2	898.96	899.00	Televisao	2023-10-05
		Smart Tv Led 50 4k Hq Conversor Digital Externo 3 Hdmi 2 Usb	1570447947	2	1828.96		Televisao	2023-10-05
		Smart TV LED 32 HD HQ Conversor Digital Integrado 3 HDMI 2 U	1570443772	3	918.96		Televisao	2023-10-05
		Smart Tv Led Pro 32'' Hd Lg 32lm621 3 Hdmi 2 Usb Wifi Conver	1566749793				Televisao	2023-10-05
		Tv 14 Digital Portatil Led 12v Usb Onibus Carro Van Caminhao	1570717601	0	900.00		Televisao	2023-10-05
Oferta	17	Smart Tv 50 Philco 4k Ptv50n10n5e Led Dolby Audio Bivolt	1567868041	0	3299.92	3299.90	Televisao	2023-10-05
Oferta	10	Smart Tv 65 Philco 4k Ptv65g10ag11sk Android Tv Led Bivolt	1571182246	0	4898.00	4408.20	Televisao	2023-10-05
