Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
Oferta	10	Smart Tv Led 55 Ultra Hd 4k Samsung Lh55beahvggxzd Crystal 3	1567588967	1	3588.00	3229.20	Televisao	2023-10-05
Oferta	6	Smart Tv Led 32 Samsung Hd 2 Hdmi Usb Wifi Lh32betblggxzd	1567047122	1	1398.96	1399.00	Televisao	2023-10-05
Oferta	12	Smart Tv 50 Philco 4k Ptv50g70r2csgbl Led Dolby Audio Bivolt	1571158002	0	2109.92	2109.90	Televisao	2023-10-05
Oferta	20	Smart Tv 32 Philco Led Ptv32g70rch Roku Tv Dolby Audio Bivolt	1568022589	2	898.96	899.00	Televisao	2023-10-05
Oferta	17	Smart Tv 50 Philco 4k Ptv50n10n5e Led Dolby Audio Bivolt	1567868041	0	3299.92	3299.90	Televisao	2023-10-05
Oferta	10	Smart Tv 65 Philco 4k Ptv65g10ag11sk Android Tv Led Bivolt	1571182246	0	4898.00	4408.20	Televisao	2023-10-05
Oferta	32	Smart Tv 43 Philco Led Ptv43e10n5sf Dolby Audio Bivolt	1567378873	0	2699.92	2699.90	Televisao	2023-10-05
Oferta	10	Fast Smart Tv Philco 65 Ptv65g70agcbl Android Tv 4k Bivolt	1568022590	0	5561.28	5005.14	Televisao	2023-10-05
Oferta	10	Smart Tv Philco 32 Polegadas Hd Hdr Ptv32g70sbl	1567091042	0	1789.84	1610.88	Televisao	2023-10-05
Oferta	12	Smart Tv 32 Philco Led Ptv32d10n5skh Dolby Audio Bivolt	1567588964	0	1399.92	1399.90	Televisao	2023-10-05
Oferta	17	Smart Tv Britânia 42 Btv42g70n5cf Full Hd Led  Netflix Bivo	1567965855	0	1889.92	1889.90	Televisao	2023-10-05
Oferta	10	Smart Tv Android Led 43 Full Hd Tcl 43s615 2 Hdmi 1 Usb Wif	1568065821	0	2248.00	2023.20	Televisao	2023-10-05
Oferta	23	Tv 32 Smart Hd Android Wifi Integrado Tl042m Multilaser	1571587758	0	1198.80	1198.80	Televisao	2023-10-05
Oferta	14	Smart Tv 55 4k Lg 120hz Freesync Thinq Ai Alexa Google Oled55	1571592315	0		8260.90	Televisao	2023-10-05
Oferta	10	Smart Tv Samsung Uhd Processador Crystal 4k 55au7700 Tela Sem	1567494606	0	3588.00	3229.20	Televisao	2023-10-05
Oferta	10	Smart Tv Semp 43 Led Full Hd Roku Wifi Dual Band 43r6500 – B	1571045105	0	2146.00	1931.39	Televisao	2023-10-05
Oferta	38	Smart Tv Philco 43 Ptv43g50sn Led  Netflix Bivolt	1566832824	0	1699.92	1699.90	Televisao	2023-10-05
Oferta	28	Samsung Smart Tv 75 Qled The Frame 2022 75ls03b Tela Matte	1569938132	0		12399.00	Televisao	2023-10-05
Oferta	23	Smart Tv Samsung Crystal Uhd 4k 50cu8000 2023 Design Airslim	1571336244	0	2586.32	2586.29	Televisao	2023-10-05
Oferta	11	Tv 50p Aoc Led Roku Smart 4k Wifi  50u6125/78g	1571024716	0	2138.88	2138.90	Televisao	2023-10-05
Oferta	10	Smart Tv Lg 55 4k Nanocell Com Inteligência Artificial 55nan	1570765756	0	4398.00	3958.20	Televisao	2023-10-05
Oferta	12	Smart Tv 32 Philco Led Ptv32d10n5skh Dolby Audio Bivolt	1567588964	0	1399.92	1399.90	Televisao	2023-10-05
Oferta	10	Fast Smart Tv Philco 65 Ptv65g70agcbl Android Tv 4k Bivolt	1568022590	0	5561.28	5005.14	Televisao	2023-10-05
Oferta	10	Smart Tv Philco 32 Polegadas Hd Hdr Ptv32g70sbl	1567091042	0	1789.84	1610.88	Televisao	2023-10-05
Oferta	17	Smart Tv Britânia 42 Btv42g70n5cf Full Hd Led  Netflix Bivo	1567965855	0	1889.92	1889.90	Televisao	2023-10-05
Oferta	23	Tv 32 Smart Hd Android Wifi Integrado Tl042m Multilaser	1571587758	0	1198.80	1198.80	Televisao	2023-10-05
Oferta	10	Smart Tv Android Led 43 Full Hd Tcl 43s615 2 Hdmi 1 Usb Wif	1568065821	0	2248.00	2023.20	Televisao	2023-10-05
Oferta	14	Smart Tv 55 4k Lg 120hz Freesync Thinq Ai Alexa Google Oled55	1571592315	0		8260.90	Televisao	2023-10-05
Oferta	26	Samsung Smart Tv 65 Qled The Frame 2022 65ls03b Tela Matte	1569938128	0	7798.96	7799.00	Televisao	2023-10-05
Oferta	57	Smart Tv 4k Samsung Qled 55 Com Modo Game, Alexa Built In E	1567494607	2	3307.92	3307.90	Televisao	2023-10-05
Oferta	43	Samsung Smart Gaming Tv 65 Neo Qled 4k 65qn90b 2022 Mini Le	1570015727	0		8819.90	Televisao	2023-10-05
Oferta	9	Smart Tv Qled 75 Google Tv Uhd 4k Tcl C835 Comando De Voz Hd	1570851235	0		9999.00	Televisao	2023-10-05
Oferta	7	Smart Tv Toshiba 43 Polegadas Fhd 43v35l	1570961364	0	2349.92	2349.90	Televisao	2023-10-05
Oferta	10	Smart Tv Semp 32 Led Hd Roku Wifi Dual Band 32r6500 – Bivolt	1571045104	0	1460.40	1314.33	Televisao	2023-10-05
Oferta	35	Smart Tv Samsung 75 Crystal Uhd 4k 75cu8000 2023 Painel Dy	1571333651		5787.52	5787.49	Televisao	2023-10-05
Oferta	21	Smart Gaming Tv 50 Polegadas Neo Qled 4k Samsung  Qn50qn90ca	1571483064		4685.92	4685.90	Televisao	2023-10-05
Oferta	13	Smart Tv Qn75qn85cagxzd 4k 75 Polegadas Neo Qled 4 Hdmi 120hz	1571457358			13673.89	Televisao	2023-10-05
Oferta	7	Smart Tv Toshiba 43 Polegadas Fhd 43v35l	1570961364		2349.92	2349.90	Televisao	2023-10-05
Oferta	7	Smart Tv 55 Philco 4k Ptv55g52r2c Roku Tv Led Dolby Audio Bi	1570679920		2599.92	2599.90	Televisao	2023-10-05
Oferta	11	Samsung Smart Tv 65 Qled 4k Q70c 2023 Modo Game Som Em Mov	1571385057		5511.92	5511.89	Televisao	2023-10-05
Oferta	22	Smart Tv 65 4k Lg Nanocell Thinq Ai, Alexa, Google Assistente	1571511318		4949.52	4949.50	Televisao	2023-10-05
Oferta	27	Smart Tv 58 Philco 4k Ptv58g10ag11sk Android Tv Hdr Bivolt	1570679924		2899.92	2899.90	Televisao	2023-10-05
Oferta	10	Smart Tv Semp 32 Led Hd Roku Wifi Dual Band 32r6500 – Bivolt	1571045104		1460.40	1314.33	Televisao	2023-10-05
Oferta	35	Samsung Smart Tv 55 Qled The Frame 2022 55ls03b Tela Matte	1569938131		4398.96	4399.00	Televisao	2023-10-05
Oferta	10	Smart Tv Tcl 50 4k Uhd Hdr Google Assistant Borda Fina 506p6	1570652192		2378.00	2140.20	Televisao	2023-10-05
Oferta	10	Smart Tv 58 Philco 4k Ptv58g70r2csgbl Roku Tv Led Dolby Audi	1571199451		3298.00	2968.20	Televisao	2023-10-05
Oferta	10	Smart Tv 40 Philco Led Ptv40g7er2cpblf Roku Tv Dolby Audio B	1571389671	0	1548.00	1393.20	Televisao	2023-10-05
Oferta	36	Smart Tv Samsung 65 Crystal Uhd 4k 65cu8000 2023 Painel Dyna	1571333655	0	3805.28	3805.29	Televisao	2023-10-05
Oferta	17	Smart Tv 32 Philco Led Ptv32g23agssblh Android Tv Bivolt	1571598069	0	1159.92	1159.90	Televisao	2023-10-05
Oferta	5	Smart Tv Hd Aoc Roku Led 32 32s5135/78g, Wifi, 3 Hdmi, 1 U	1571134022	0	1094.88	1094.90	Televisao	2023-10-05
Oferta	10	Tv 32 Philco Led Ptv32t10edp Hd Recepcao Digital Bivolt	1570848799	0	1118.00	1006.20	Televisao	2023-10-05
Oferta	6	Smart Tv 55 Philco Ptv55g7eagcpbl 4k Led Dolby Audio Bivolt	1571567707	0	2799.92	2799.90	Televisao	2023-10-05
Oferta	56	Smart Tv Philco Led 50 Polegadas 4k Uhd 2 Usb 4 Hdmi Wi Fi	1566982230	0	2199.92	2199.90	Televisao	2023-10-05
Oferta	22	Smart Tv Aiwa 32 Android, Hd, Comando De Voz, Dolby Áudio, H	1571099297	0	1408.88	1408.90	Televisao	2023-10-05
