Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto
Oferta	-10	"'Smart Tv Led 55"" Ultra Hd 4k Samsung Lh55beahvggxzd Crystal 3'"	'1567588967'		3588.00	3229.20	Tv
Oferta	-6	'Smart Tv Led 32 Samsung Hd 2 Hdmi Usb Wifi Lh32betblggxzd'	'1567047122'		1499.00	1399.00	Tv
Oferta	-17	"'Smart Tv Led 55"" Ultra Hd 4k Lg 55uq801c0sb.bwz Thinq Ai 3 Hd'"	'1570476640'		2899.00	2379.00	Tv
Oferta	-20	"'Smart Tv 32"" Philco Led Ptv32g70rch Roku Tv Dolby Audio Bivolt'"	'1568022589'		1124.00	899.00	Tv
Oferta	-17	'Smart Tv 50 Philco 4k Ptv50n10n5e Led Dolby Audio Bivolt'	'1567868041'		3999.90	3299.90	Tv
Oferta	-10	'Smart Tv 65 Philco 4k Ptv65g10ag11sk Android Tv Led Bivolt'	'1571182246'		4898.00	4408.20	Tv
Oferta	-10	"'Fast Smart Tv Philco 65"" Ptv65g70agcbl Android Tv 4k Bivolt'"	'1568022590'		5561.27	5005.14	Tv
Oferta	-10	'Smart Tv Philco 32 Polegadas Hd Hdr Ptv32g70sbl'	'1567091042'		1789.87	1610.88	Tv
Oferta	-24	'Smart Tv 50 Philco 4k Ptv50g10ag11sk Led Dolby Audio Bivolt'	'1571069607'		2999.90	2259.90	Tv
Oferta	-10	"'Smart Tv Philco 43"" Ptv43g50sn Led  Netflix Bivolt'"	'1566832824'		2018.00	1816.20	Tv
Oferta	-7	'Smart Tv Toshiba 43 Polegadas Fhd 43v35l'	'1570961364'		2549.90	2349.90	Tv
Oferta	-10	"'Smart Tv Android Led 43"" Full Hd Tcl 43s615 2 Hdmi 1 Usb Wif'"	'1568065821'		2248.00	2023.20	Tv
Oferta	-8	"'Smart Tv Led 75"" Tcl P735 4k Uhd Hdr Dolby Vision'"	'1570765757'		5299.00	4875.08	Tv
