Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
		"TV LED 32"" HQ HQTV32 Resolução HD com Conversor Digital 2 HDM..."	Cód. 1568255407	(1)	R$ 769,00cada		tv	7x de R$ 109,86 s/juros	
OFERTA	-12%	Smart Tv 50” Philco 4k Ptv50g70r2csgbl Led Dolby Audio Bivolt	Cód. 1571158002	(0)	R$ 2.399,90 cada	R$ 2.109,90cada	tv	8x de R$ 263,74 s/juros	
		"Tv Lg 43"" Led 4k Uhd Smart Pro 43uq751c0sf.bwz"	Cód. 1570668727	(0)	R$ 1.999,00cada		tv	8x de R$ 249,87 s/juros	
		Smart Tv Led 50 4k Hq Conversor Digital Externo 3 Hdmi 2 Usb	Cód. 1570447947	(2)	R$ 1.829,00cada		tv	8x de R$ 228,62 s/juros	
		"Smart Tv Led 55"" Ultra Hd 4k Samsung Lh55beahvggxzd Crystal 3..."	Cód. 1567588967	(1)	R$ 3.588,00cada		tv	8x de R$ 448,50 s/juros	
		"Smart Tv Led 43"" Ultra Hd 4k Lg 43ur781c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492415	(1)	R$ 1.799,00cada		tv	8x de R$ 224,87 s/juros	
OFERTA	-20%	"Smart Tv 32"" Philco Led Ptv32g70rch Roku Tv Dolby Audio Bivolt"	Cód. 1568022589	(2)	R$ 1.099,00 cada	R$ 879,00cada	tv	8x de R$ 109,87 s/juros	
		"Smart Tv Led 55"" Ultra Hd 4k Lg 55uq801c0sb.bwz Thinq Ai 3 Hd..."	Cód. 1570476640	(3)	R$ 2.599,00cada		tv	8x de R$ 324,87 s/juros	
		"Smart TV LED 32"" HD HQ Conversor Digital Integrado 3 HDMI 2 U..."	Cód. 1570443772	(3)	R$ 919,00cada		tv	8x de R$ 114,87 s/juros	
OFERTA	-6%	Smart Tv Led 32 Samsung Hd 2 Hdmi Usb Wifi Lh32betblggxzd	Cód. 1567047122	(1)	R$ 1.499,00 cada	R$ 1.399,00cada	tv	8x de R$ 174,87 s/juros	
		"Smart Tv 50"" Lg 4k Uhd Thinq Ai Hdr Bluetooth Alexa Google As..."	Cód. 1571567710	(0)	R$ 2.383,10cada		tv	8x de R$ 297,89 s/juros	
OFERTA	-17%	Smart Tv 50” Philco 4k Ptv50n10n5e Led Dolby Audio Bivolt	Cód. 1567868041	(0)	R$ 3.999,90 cada	R$ 3.299,90cada	tv	8x de R$ 412,49 s/juros	
		Smart Tv 65” Philco 4k Ptv65g10ag11sk Android Tv Led Bivolt	Cód. 1571182246	(0)	R$ 4.898,00cada		tv	8x de R$ 612,25 s/juros	
OFERTA	-32%	Smart Tv 43” Philco Led Ptv43e10n5sf Dolby Audio Bivolt	Cód. 1567378873	(0)	R$ 3.999,90 cada	R$ 2.699,90cada	tv	8x de R$ 337,49 s/juros	
		"Smart Tv Android Qled 55"" Ultra Hd 4k Philco Ptv55m82agcibbl"	Cód. 1570679923	(0)	R$ 4.089,99cada		tv	8x de R$ 511,25 s/juros	
		Tv Philips 65 Smart 4k Mini Led Ambilight Android 65pml9507/...	Cód. 1571099229	(0)	R$ 8.599,00cada		tv	8x de R$ 1.074,87 s/juros	
		Tv 43 Fhd Smart Android Tl046m Multilaser	Cód. 1571587757	(0)	R$ 1.999,00cada		tv	8x de R$ 249,87 s/juros	
		"Smart Tv Semp 43"" Led Full Hd Roku Wifi Dual Band 43r6500 – B..."	Cód. 1571045105	(0)	R$ 2.145,99cada		tv	8x de R$ 268,25 s/juros	
		"Smart Tv Led Lg 24"" Hd 24tl520s Wi-fi Integrado Usb Hdmi Webo..."	Cód. 1567102139	(0)	R$ 1.449,00cada		tv	8x de R$ 181,12 s/juros	
		Tv 14 Digital Portátil Led 12v Usb Onibus Carro Van Caminhao	Cód. 1570717601	(0)	R$ 899,99cada		tv	8x de R$ 112,50 s/juros	
		Tv Philips 75 Smart 4k Ambilight Android The One 75pug8807/78	Cód. 1571490011	(0)	R$ 8.829,90cada		tv	8x de R$ 1.103,74 s/juros	
OFERTA	-12%	Smart Tv 32” Philco Led Ptv32d10n5skh Dolby Audio Bivolt	Cód. 1567588964	(0)	R$ 1.599,90 cada	R$ 1.399,90cada	tv	8x de R$ 174,99 s/juros	
OFERTA	-7%	"Smart Tv Android Led 32"" Hd Tcl 32s615 Com Google Assistant 2..."	Cód. 1567588965	(0)	R$ 1.678,80 cada	R$ 1.558,80cada	tv	8x de R$ 194,85 s/juros	
